code;title;direction;stage;stage_label;role;action;product;methodology;kpi
9.4;Управление доходами и расходами;Финансы;1;1 этап;Финансы;Определены статьи расходов и правила распределения расходов Утверждены нормы и нормативы учета расходов;;не требуется;
9.4;Управление доходами и расходами;Финансы;2;2 этап;Все отделы;Ежедневное сквозное отражение всех хозяйственных операций организации в реальном масштабе времени в управленческой программе 1С КА (ERP в будущем) (Равен этапу 1 процесса 9.3);Все хоз.операции отражены в 1С КА (ERP);не требуется;
9.4;Управление доходами и расходами;Финансы;3;3 этап;Финансы;Ежедневный контроль за достоверностью отраженной информации (равен этапу 3 из процесса 9.2);Достоверный учет хоз.операции фактам хоз.деятельности (в соответствии с первичным документом);не требуется;
9.4;Управление доходами и расходами;Финансы;4;4 этап;Финансы;Контроль за дебиторской задолженностью;Отчет по состоянию дебиторской задолженности;;
9.4;Управление доходами и расходами;Финансы;5;5 этап;Финансы;Контроль за кредиторской задолженностью;Отчет по состоянию кредиторской задолженности;;
9.4;Управление доходами и расходами;Финансы;6;6 этап;Финансы;Анализ отклонений фактических показателей от плановых;Ежемесячный отчет;;
9.4;Управление доходами и расходами;Финансы;7;7 этап;Финансы;Поиск и внедрение мер по снижению затрат без ущерба качеству;Перечень мероприятий по снижению затрат;;
9.4;Управление доходами и расходами;Финансы;8;8 этап;Финансы;Повышение доходности. Разработка и реализация мероприятий по увеличению доходов;Перечень мероприятий по увеличению доходов;;
9.5;Взаимодействие с внешними организациями;Финансы;0;0 этап;Финансы;"Создан список контролирующих и надзорных органов и виды отчетности для каждого. Утвержден перечень информации, предоставляемой внешним пользователям";Список надзорных органов Перечень информации;не требуется;
9.5;Взаимодействие с внешними организациями;Финансы;1;1 этап;IT;Техническая поддержка в реализации этапа;Приказ о назначении ответственных за предоставление информации и сдачу отчетности;не требуется;
9.5;Взаимодействие с внешними организациями;Финансы;1;1 этап;Администрация;Назначены ответственные за сдачу отчетности;Приказ о назначении ответственных за предоставление информации и сдачу отчетности;не требуется;
9.5;Взаимодействие с внешними организациями;Финансы;2;2 этап;Финансы;Получение и анализ запросов от внешних органов в зоне ответственноти финансового отдела;Фиксирован входящих запросов и определен объем требуемой информации.;не требуется;
9.5;Взаимодействие с внешними организациями;Финансы;2;2 этап;IT;Техническая поддержка в реализации этапа;Фиксирован входящих запросов и определен объем требуемой информации.;не требуется;
9.5;Взаимодействие с внешними организациями;Финансы;3;3 этап;Финансы;"Сбор данных по запросам. Запрос информации у подразделений, проверка полноты и корректности информации";Данные для заполнения ответа внешним органам;не требуется;
9.5;Взаимодействие с внешними организациями;Финансы;4;4 этап;Финансы;Подготовка отчетов и документов. Согласование отчетности внутри компании;Подготовленная отчетность;не требуется;
9.5;Взаимодействие с внешними организациями;Финансы;5;5 этап;Финансы;Передача отчетности и информации во внешние органы;"Отправка отчетности в установленные сроки по регламентированным каналам (ТКС, портал, почта).";не требуется;
9.5;Взаимодействие с внешними организациями;Финансы;6;6 этап;Финансы;Ведение архива запросов и отчетов;Хранение запросов и ответов на запросы в электронном и бумажном виде;не требуется;
11.1;Целевые программы;СОТПБ и ЭБ;1;1 этап;СОТППиЭБ;Определение целей и задач программы;определение наименований;"1. Определить ключевые цели целевой программы (например, снижение травматизма, улучшение условий труда). 2.Установить задачи для достижения этих целей (например, проведение обучения, улучшение контроля за соблюдением стандартов).";
11.1;Целевые программы;СОТПБ и ЭБ;2;2 этап;СОТППиЭБ;Разработка политики и стандартов;"приказ, программы";"1.Сформулируйте политику охраны труда, отражающую цели программы. 2.Разработайте и утвердите стандарты и процедуры, которые будут применяться в рамках программы.";
11.1;Целевые программы;СОТПБ и ЭБ;3;3 этап;СОТППиЭБ;Оценка рисков;выявление нарушений;"1. Проведить анализ существующих рисков и опасностей на рабочем месте. 2. Определить, какие риски требуют особого внимания в рамках целевой программы. 3. Разработать план по их минимизации и контролю.";
11.1;Целевые программы;СОТПБ и ЭБ;4;4 этап;СОТППиЭБ;Разработка обучающих материалов и проведение тренингов;обучение;"1. Создать обучающие материалы, отражающие новые требования и процедуры. 2. Организовать тренинги и семинары для сотрудников и руководителей, чтобы обеспечить понимание и соблюдение новых стандартов.";
11.1;Целевые программы;СОТПБ и ЭБ;4;4 этап;Руководители направления;Разработка обучающих материалов и проведение тренингов;обучение;"1. Создать обучающие материалы, отражающие новые требования и процедуры. 2. Организовать тренинги и семинары для сотрудников и руководителей, чтобы обеспечить понимание и соблюдение новых стандартов.";
11.1;Целевые программы;СОТПБ и ЭБ;5;5 этап;СОТППиЭБ;Установление системы контроля и мониторинга;протокол;1. Разработать систему регулярного контроля и мониторинга за соблюдением норм и стандартов охраны труда. 2. Включить в систему механизмы для выявления и устранения нарушений.;
11.1;Целевые программы;СОТПБ и ЭБ;6;6 этап;Руководители направления;Определение ответственности;приказ;"1. Назначить ответственных лиц за внедрение и соблюдение программы охраны труда. 2. Установить их обязанности и полномочия, а также обеспечьте их необходимыми ресурсами.";
11.1;Целевые программы;СОТПБ и ЭБ;7;7 этап;СОТППиЭБ;Оценка и улучшение;ознакомление сотрудников;1. Регулярно проводите оценки эффективности целевой программы. 2. Собирать отзывы от сотрудников и других заинтересованных сторон. 3. На основе полученных данных вносите необходимые коррективы в программу.;
11.1;Целевые программы;СОТПБ и ЭБ;8;8 этап;Отдел кадров;Документирование и отчетность;лист ознакомление;1. Обеспечить правильное документирование всех процессов и мероприятий программы. 2. Подготовить регулярные отчеты о ходе выполнения программы и достигнутых результатах.;
11.1;Целевые программы;СОТПБ и ЭБ;9;9 этап;Бухгалтерия;Внедрение системы поощрений и санкций;КPI;"1. Разработать систему поощрений для сотрудников, соблюдающих стандарты охраны труда. 2. Установить санкции за нарушение норм и правил.";
11.1;Целевые программы;СОТПБ и ЭБ;10;10 этап;СОТППиЭБ;Поддержка и вовлеченность;"сохранение жизни и здоровья работников, безопасное производство работ";1. Создать условия для постоянного вовлечения работников в вопросы охраны труда. 2. Поддерживать открытый диалог между руководством и сотрудниками.;
11.2;Инструктажи;СОТПБ и ЭБ;1;1 этап;СОТППиЭБ;Разработка и планирование инструктажей;определение наименований;"1. Определите цели инструктажей: Разработайте цели и задачи инструктажей, например, повышение осведомленности о безопасных методах работы, предотвращение несчастных случаев и т.д. 2.Выберите виды инструктажей: Определите, какие виды инструктажей требуются (вводный, первичный на рабочем месте, повторный, внеплановый, целевой). 3. Разработайте программу инструктажей: Составьте план и содержание инструктажей, включая темы, которые должны быть рассмотрены, и время для каждого типа инструктажа.";
11.2;Инструктажи;СОТПБ и ЭБ;2;2 этап;СОТППиЭБ;Подготовка материалов;"приказ, программы";"1.Составьте инструкции и презентации: Разработайте инструкции, презентации, видеоматериалы и другие учебные ресурсы, соответствующие тематике инструктажей.. 2.Подготовьте нормативные документы: Соберите все необходимые документы, такие как стандарты безопасности, правила и регламенты.";
11.2;Инструктажи;СОТПБ и ЭБ;3;3 этап;СОТППиЭБ;Проведение инструктажей;инструктажи;Вводный инструктаж Первичный инструктаж на рабочем месте Повторный инструктаж Внеплановый инструктаж Целевой инструктаж;
11.2;Инструктажи;СОТПБ и ЭБ;3;3 этап;Руководители направления;Проведение инструктажей;инструктажи;Вводный инструктаж Первичный инструктаж на рабочем месте Повторный инструктаж Внеплановый инструктаж Целевой инструктаж;
11.2;Инструктажи;СОТПБ и ЭБ;4;4 этап;СОТППиЭБ;Оформление результатов инструктажей;Заполнить журналы инструктажей Выдать удостоверения;"1. Создать обучающие материалы, отражающие новые требования и процедуры. 2. Организовать тренинги и семинары для сотрудников и руководителей, чтобы обеспечить понимание и соблюдение новых стандартов.";
11.2;Инструктажи;СОТПБ и ЭБ;4;4 этап;Руководители направления;Оформление результатов инструктажей;Заполнить журналы инструктажей Выдать удостоверения;"1. Создать обучающие материалы, отражающие новые требования и процедуры. 2. Организовать тренинги и семинары для сотрудников и руководителей, чтобы обеспечить понимание и соблюдение новых стандартов.";
11.2;Инструктажи;СОТПБ и ЭБ;5;5 этап;СОТППиЭБ;Оценка и корректировка;;"1. Оцените эффективность инструктажей: Проводите опросы, тестирования или наблюдения для оценки уровня усвоения материала. 2. Анализируйте отзывы: Собирайте отзывы от сотрудников о качестве и полезности инструктажей. 3. Корректируйте материалы и процедуры: На основе анализа и отзывов вносите необходимые изменения в материалы и процедуры инструктажей.";
11.2;Инструктажи;СОТПБ и ЭБ;6;6 этап;Руководители направления;Документирование и отчетность;;"1. Храните документы: Обеспечьте надежное хранение документов по инструктажам (журналы, протоколы, удостоверения). 2. Отчетность: Подготовьте отчеты о проведенных инструктажах для внутреннего контроля и возможных проверок со стороны регулирующих органов.";
11.2;Инструктажи;СОТПБ и ЭБ;7;7 этап;СОТППиЭБ;Мониторинг и поддержка;ознакомление сотрудников;1. Проведите регулярный мониторинг: Следите за соблюдением инструкций и рекомендаций в процессе работы. 2. Поддерживайте актуальность инструктажей: Обновляйте инструкции и материалы в соответствии с изменениями в законодательстве и технологиях.;
11.3;Обучение и оценка знаний;СОТПБ и ЭБ;1;1 этап;СОТППиЭБ;Обучение по охране труда;определение наименований;"1. Анализ потребностей: Определение, какие знания и навыки необходимы работникам в зависимости от их должностей и специфики работы. 2. Разработка программы обучения: Создание учебных материалов, включая теорию, практические занятия и инструктажи. Программа должна включать: - Основные принципы охраны труда. - Правила поведения в экстренных ситуациях. - Специфика работы с опасными материалами. 3. Формы обучения: -Очное обучение: Лекции, семинары, тренинги. -Дистанционное обучение: Онлайн-курсы, вебинары. -Практические занятия: Тренировки по оказанию первой помощи, действиям при авариях.";
11.3;Обучение и оценка знаний;СОТПБ и ЭБ;2;2 этап;СОТППиЭБ;Оценка знаний;теория/практика;"1.Тестирование: Проведение письменных или онлайн-тестов для проверки теоретических знаний. Вопросы могут быть как закрытыми, так и открытыми. 2. Практические испытания: Оценка навыков на практике, например, выполнение стандартных операций по охране труда. 3. Интервью и обсуждения: Оценка понимания тем путем беседы с работниками, обсуждения реальных случаев из практики. 4. Аттестация: Окончательная проверка знаний и навыков, которая может включать комплексные экзамены.";
11.3;Обучение и оценка знаний;СОТПБ и ЭБ;2;2 этап;Бухгалтерия;Оценка знаний;теория/практика;"1.Тестирование: Проведение письменных или онлайн-тестов для проверки теоретических знаний. Вопросы могут быть как закрытыми, так и открытыми. 2. Практические испытания: Оценка навыков на практике, например, выполнение стандартных операций по охране труда. 3. Интервью и обсуждения: Оценка понимания тем путем беседы с работниками, обсуждения реальных случаев из практики. 4. Аттестация: Окончательная проверка знаний и навыков, которая может включать комплексные экзамены.";
11.3;Обучение и оценка знаний;СОТПБ и ЭБ;2;2 этап;Отдел кадров;Оценка знаний;теория/практика;"1.Тестирование: Проведение письменных или онлайн-тестов для проверки теоретических знаний. Вопросы могут быть как закрытыми, так и открытыми. 2. Практические испытания: Оценка навыков на практике, например, выполнение стандартных операций по охране труда. 3. Интервью и обсуждения: Оценка понимания тем путем беседы с работниками, обсуждения реальных случаев из практики. 4. Аттестация: Окончательная проверка знаний и навыков, которая может включать комплексные экзамены.";
11.3;Обучение и оценка знаний;СОТПБ и ЭБ;2;2 этап;Руководители направления;Оценка знаний;теория/практика;"1.Тестирование: Проведение письменных или онлайн-тестов для проверки теоретических знаний. Вопросы могут быть как закрытыми, так и открытыми. 2. Практические испытания: Оценка навыков на практике, например, выполнение стандартных операций по охране труда. 3. Интервью и обсуждения: Оценка понимания тем путем беседы с работниками, обсуждения реальных случаев из практики. 4. Аттестация: Окончательная проверка знаний и навыков, которая может включать комплексные экзамены.";
11.3;Обучение и оценка знаний;СОТПБ и ЭБ;3;3 этап;СОТППиЭБ;Постоянное обновление знаний;протокол;1. Регулярное обучение: Организация периодических курсов повышения квалификации для сотрудников. 2. Обратная связь: Сбор отзывов от участников обучения для улучшения программ. 3. Анализ инцидентов: Изучение происшествий для выявления пробелов в знаниях и корректировки программ обучения.;
11.4;Производство работ;СОТПБ и ЭБ;1;1 этап;СОТППиЭБ;Планирование охраны труда;определение наименований;"1. Анализ рисков: Идентификация потенциальных опасностей на рабочих местах и оценка рисков для здоровья и безопасности работников. 2. Разработка политики: Формулирование принципов и целей охраны труда, которые будут реализованы в компании.";
11.4;Производство работ;СОТПБ и ЭБ;2;2 этап;СОТППиЭБ;Организация рабочего процесса;"приказ, программы";"1.Создание безопасных условий труда: Обеспечение работников необходимыми средствами индивидуальной защиты (СИЗ) и оборудованием, соответствующим стандартам безопасности. 2.Разработка инструкций: Подготовка инструкций по охране труда для различных видов работ, включая меры безопасности и правила поведения.";
11.4;Производство работ;СОТПБ и ЭБ;2;2 этап;Руководители направления;Организация рабочего процесса;"приказ, программы";"1.Создание безопасных условий труда: Обеспечение работников необходимыми средствами индивидуальной защиты (СИЗ) и оборудованием, соответствующим стандартам безопасности. 2.Разработка инструкций: Подготовка инструкций по охране труда для различных видов работ, включая меры безопасности и правила поведения.";
11.4;Производство работ;СОТПБ и ЭБ;3;3 этап;СОТППиЭБ;Обучение работников;протокол;"1. Инструктажи: Проведение вводных и тематических инструктажей по охране труда для всех сотрудников. 2. Обучение: Организация курсов и тренингов, направленных на развитие знаний и навыков безопасного выполнения работ.";
11.4;Производство работ;СОТПБ и ЭБ;3;3 этап;Руководители направления;Обучение работников;протокол;"1. Инструктажи: Проведение вводных и тематических инструктажей по охране труда для всех сотрудников. 2. Обучение: Организация курсов и тренингов, направленных на развитие знаний и навыков безопасного выполнения работ.";
11.4;Производство работ;СОТПБ и ЭБ;4;4 этап;СОТППиЭБ;Контроль и мониторинг;предписания;1. Регулярные проверки: Проведение плановых и внеплановых проверок состояния охраны труда на предприятии. 2. Аудиты: Оценка соблюдения норм и требований охраны труда в различных подразделениях.;
11.4;Производство работ;СОТПБ и ЭБ;4;4 этап;Руководители направления;Контроль и мониторинг;предписания;1. Регулярные проверки: Проведение плановых и внеплановых проверок состояния охраны труда на предприятии. 2. Аудиты: Оценка соблюдения норм и требований охраны труда в различных подразделениях.;
11.4;Производство работ;СОТПБ и ЭБ;5;5 этап;СОТППиЭБ;Создание безопасной рабочей среды;безопасное производво работ;"1. Принятие мер по улучшению условий труда, включая организацию рабочего процесса и использование средств индивидуальной защиты.";
11.4;Производство работ;СОТПБ и ЭБ;5;5 этап;Руководители направления;Создание безопасной рабочей среды;безопасное производво работ;"1. Принятие мер по улучшению условий труда, включая организацию рабочего процесса и использование средств индивидуальной защиты.";
11.4;Производство работ;СОТПБ и ЭБ;6;6 этап;СОТППиЭБ;Документирование и отчетность;приказ;"1. Ведение журналов по охране труда, составление отчетов о происшествиях и мерах, принятых для их предотвращения.";
11.4;Производство работ;СОТПБ и ЭБ;6;6 этап;Руководители направления;Документирование и отчетность;приказ;"1. Ведение журналов по охране труда, составление отчетов о происшествиях и мерах, принятых для их предотвращения.";
11.4;Производство работ;СОТПБ и ЭБ;7;7 этап;СОТППиЭБ;Анализ инцидентов;оценка проф. Рисков;1. Исследование случаев несчастных случаев и профессиональных заболеваний для выявления причин и разработки рекомендаций по предотвращению.;
11.4;Производство работ;СОТПБ и ЭБ;8;8 этап;СОТППиЭБ;Взаимодействие с контролирующими органами;лист ознакомление;"1. Сотрудничество с инспекциями по охране труда, участие в проверках и выполнение предписаний.";
11.5;Документальное сопровождение;СОТПБ и ЭБ;1;1 этап;СОТППиЭБ;Разработка нормативной документации;"инструкция, приказ";1. Создание и актуализация инструкций по охране труда. 2. Разработка положений и регламентов по охране труда в организации.;
11.5;Документальное сопровождение;СОТПБ и ЭБ;2;2 этап;СОТППиЭБ;Регистрация и учёт документов;отчетность;1. Ведение реестра документов по охране труда. 2. Установление сроков хранения документов и их периодической проверки.;
11.5;Документальное сопровождение;СОТПБ и ЭБ;3;3 этап;СОТППиЭБ;Оформление документации;отчетность;"1. Составление актов о несчастных случаях, профзаболеваниях и инцидентах. 2. Подготовка протоколов по результатам проверок и инструктажей.";
11.5;Документальное сопровождение;СОТПБ и ЭБ;4;4 этап;СОТППиЭБ;Обучение и инструктаж;приказ;"1. Документирование процесса обучения работников (журналы, сертификаты). 2. Учет проведенных инструктажей и тренировок.";
11.5;Документальное сопровождение;СОТПБ и ЭБ;4;4 этап;Отдел кадров;Обучение и инструктаж;приказ;"1. Документирование процесса обучения работников (журналы, сертификаты). 2. Учет проведенных инструктажей и тренировок.";
11.5;Документальное сопровождение;СОТПБ и ЭБ;4;4 этап;Руководители направления;Обучение и инструктаж;приказ;"1. Документирование процесса обучения работников (журналы, сертификаты). 2. Учет проведенных инструктажей и тренировок.";
11.5;Документальное сопровождение;СОТПБ и ЭБ;5;5 этап;СОТППиЭБ;Мониторинг и контроль;протокол;1. Ведение отчетов о проведении проверок условий труда и соблюдении норм безопасности. 2. Оформление результатов внутреннего контроля.;
11.5;Документальное сопровождение;СОТПБ и ЭБ;6;6 этап;СОТППиЭБ;Анализ и оценка рисков;оценка проф.рисков;1. Документирование результатов оценки профессиональных рисков. 2. Создание отчетов о проведении анализа и разработке мероприятий по снижению рисков.;
11.5;Документальное сопровождение;СОТПБ и ЭБ;7;7 этап;СОТППиЭБ;Взаимодействие с внешними органами;предписание;1. Оформление переписки с инспекциями по охране труда. 2. Подготовка отчетов по результатам проверок и рекомендациям.;
11.5;Документальное сопровождение;СОТПБ и ЭБ;8;8 этап;СОТППиЭБ;Отчетность;отчетность;1. Составление регулярных отчетов о состоянии охраны труда в организации. 2. Подготовка статистических данных по несчастным случаям и травматизму.;
11.5;Документальное сопровождение;СОТПБ и ЭБ;9;9 этап;СОТППиЭБ;Аудит и ревизия;акт;1. Проведение внутренних аудитов по соблюдению норм охраны труда и документированию их результатов.;
11.5;Документальное сопровождение;СОТПБ и ЭБ;10;10 этап;СОТППиЭБ;Поддержка и вовлеченность;система мотивации;1. Создать условия для постоянного вовлечения работников в вопросы охраны труда. 2. Поддерживать открытый диалог между руководством и сотрудниками.;
11.5;Документальное сопровождение;СОТПБ и ЭБ;10;10 этап;Руководители направления;Поддержка и вовлеченность;система мотивации;1. Создать условия для постоянного вовлечения работников в вопросы охраны труда. 2. Поддерживать открытый диалог между руководством и сотрудниками.;
12.1;"Согласование договоров протоколов разногласий, задач и иных документов";Право;1;1 этап;Инициатор задачи - Юридический департамент (ЮД);Постановка задачи на рассмотрение договора со всеми приложениями / описание задачи Инициатором задачи (Постановщиком задачи);;"Всегда, по умолчанию, контрагентам необходимо направлять наши проекты документов! 1. Новая задача: «Вводится название задачи» — например, «Согласование договора … (поставки, оказания услуг и т.д.) с ООО Ромашка». 2. Раздел «Комментарии» либо в тексте задачи уточняют или/или: 2.1. «Прошу согласовать договор, спорные пункты оформить в протоколе разногласий (ПР)». 2.2. «Прошу согласовать договор, ПР не требуется/можно вносить корректировки в договор».";
12.1;"Согласование договоров протоколов разногласий, задач и иных документов";Право;2;2 этап;Инициатор задачи - Юридический департамент (ЮД);"Загрузка необходимых файлов в задачу - Договор с приложениями + стандартный пакет документов, запрашиваемый у контрагента. Указать крайний срок задачи - дата постановки задачи + 2 рабочих дня!";;"1.Стандартный пакет документов* — это перечень документов, который необходимо запрашивать у контрагентов в обязательном порядке при заключении договора. 2.Указать крайний срок задачи - дата постановки задачи + 2 рабочих дня! *Стандартный пакет документов включает в себя: 1. Устав (действующую редакцию со всеми актуальными изменениями к нему). 2. Свидетельства ОГРН/ИНН (при наличии выдавались до 2017). 3. Документы, подтверждающие полномочия директора (Протокол/Решение о назначении директора). 4. Доверенность (если подписантом является лицо по доверенности). 5. Карту партнера (предприятия). 6. Разрешительные документы (сертификаты, лицензии и т.д.) на товар при наличии/необходимости. 7. Дополнительно у ИП запрашивать паспорт (1 стр.) и адрес регистрации (прописка), у самозанятых: паспорт (1 стр., адрес регистрации), справка о постановке на учет в качестве налогоплательщика НПД.";
12.1;"Согласование договоров протоколов разногласий, задач и иных документов";Право;3;3 этап;Инициатор задачи - Юридический департамент (ЮД);"Указать: (ЮД) ответственным — Касимов С.Д. Соисполнителем — Якина А.В., Казаргулова Г.М., (СБ) Павинский Н.М. Наблюдателем указать — непосредственного руководителя. Постановщиком указать — инициатора задачи.";;"1. По результатам проверки службой безопасности выносится решение о благонадежности или неблагонадежности контрагента, с соответствующими рекомендациями о целесообразности продолжения работы с ним";
12.1;"Согласование договоров протоколов разногласий, задач и иных документов";Право;3;3 этап;Служба безопасности (СБ);Проверка контрагента Службой безопасности;;"1. По результатам проверки службой безопасности выносится решение о благонадежности или неблагонадежности контрагента, с соответствующими рекомендациями о целесообразности продолжения работы с ним";
12.1;"Согласование договоров протоколов разногласий, задач и иных документов";Право;4;4 этап;Инициатор задачи - Юридический департамент (ЮД);Рассмотрение пакета документов сотрудников ЮД;;;
12.1;"Согласование договоров протоколов разногласий, задач и иных документов";Право;4;4 этап;Служба безопасности (СБ);Отчет о благонадежности контрагента;;;
12.1;"Согласование договоров протоколов разногласий, задач и иных документов";Право;5;5 этап;Инициатор задачи - Юридический департамент (ЮД);"Вывод по рассмотрению пакета документов, загрузка отредактированного договора либо протокола разногласий";;;
12.1;"Согласование договоров протоколов разногласий, задач и иных документов";Право;5;5 этап;Инициатор задачи / ЮД;Направление контрагенту Протокола разногласий либо договора с внесенными правками;;;
12.1;"Согласование договоров протоколов разногласий, задач и иных документов";Право;5;5 этап;Служба безопасности (СБ);Рекомендация в отказе сотрудничества с данным контрагентом;;;
12.1;"Согласование договоров протоколов разногласий, задач и иных документов";Право;6;6 этап;Инициатор задачи - Юридический департамент (ЮД);Согласование от ЮД Постановщику задачи к подписанию приложенных документов;;;
12.1;"Согласование договоров протоколов разногласий, задач и иных документов";Право;6;6 этап;Инициатор задачи / ЮД;Рассмотрение ответа контрагента;;;
12.1;"Согласование договоров протоколов разногласий, задач и иных документов";Право;7;7 этап;Инициатор задачи - Юридический департамент (ЮД);Завершение задачи;;;
12.1;"Согласование договоров протоколов разногласий, задач и иных документов";Право;7;7 этап;Инициатор задачи / ЮД;Выгрузка скана подписанного договора в 1С Инициатором задачи;;;
12.2;Согласование Спецификаций - Заданий  - Приложений по действующим договорам (новые закупки);Право;1;1 этап;Инициатор задачи - Юридический департамент (ЮД);Постановка сделки на согласование спецификаций / заявок/счетов в 1С. Комментарий к сделке (Постановщиком сделки).;;"1. По результатам проверки службой безопасности выносится решение о благонадежности или неблагонадежности контрагента, с соответствующими рекомендациями о целесообразности продолжения работы с ним";
